Image,PSNR (dB),SSIM,Entropy,Edge Preservation (EPI),Correlation Coefficient (CC),NMI,GSSIM,RMSE,MAE
Pytorch_LAB_HYBRID_Fusion_00001.png,17.182,0.711,6.534,0.649,0.307,12.607,0.781,9.766,113.469
Pytorch_LAB_HYBRID_Fusion_00002.png,17.278,0.714,6.502,0.651,0.298,12.558,0.782,9.805,117.352
Pytorch_LAB_HYBRID_Fusion_00003.png,15.631,0.768,6.357,0.707,0.013,11.962,0.821,10.016,80.359
Pytorch_LAB_HYBRID_Fusion_00004.png,15.561,0.759,6.342,0.687,0.036,12.116,0.83,9.904,87.209
Pytorch_LAB_HYBRID_Fusion_00005.png,17.446,0.724,6.471,0.654,0.33,12.571,0.791,9.713,121.209
Pytorch_LAB_HYBRID_Fusion_00006.png,15.296,0.742,6.395,0.682,0.059,12.048,0.835,9.961,76.622
Pytorch_LAB_HYBRID_Fusion_00007.png,15.959,0.78,6.364,0.69,0.147,11.958,0.884,9.461,96.933
Pytorch_LAB_HYBRID_Fusion_00008.png,15.778,0.782,6.35,0.68,0.173,11.825,0.88,9.428,91.87
Pytorch_LAB_HYBRID_Fusion_00009.png,16.351,0.741,6.387,0.762,0.305,12.635,0.814,9.866,86.146
Pytorch_LAB_HYBRID_Fusion_00010.png,15.18,0.768,6.305,0.815,0.135,11.551,0.822,9.977,66.707
Pytorch_LAB_HYBRID_Fusion_00011.png,17.525,0.732,6.483,0.728,0.424,12.803,0.783,9.769,97.652
Pytorch_LAB_HYBRID_Fusion_00012.png,15.064,0.702,6.659,0.696,0.273,12.482,0.803,10.177,74.06
Pytorch_LAB_HYBRID_Fusion_00013.png,14.989,0.709,6.607,0.689,0.138,12.447,0.807,10.216,89.112
Pytorch_LAB_HYBRID_Fusion_00014.png,15.466,0.737,6.613,0.674,0.335,12.373,0.846,10.053,81.408
Pytorch_LAB_HYBRID_Fusion_00015.png,16.932,0.72,6.69,0.63,0.423,12.572,0.795,9.537,102.71
Pytorch_LAB_HYBRID_Fusion_00016.png,16.996,0.712,6.698,0.623,0.461,12.529,0.786,9.617,90.169
Pytorch_LAB_HYBRID_Fusion_00017.png,16.683,0.725,6.505,0.647,0.348,12.353,0.787,9.828,86.065
Pytorch_LAB_HYBRID_Fusion_00018.png,16.548,0.697,6.758,0.628,0.49,12.803,0.768,9.857,83.153
Pytorch_LAB_HYBRID_Fusion_00019.png,16.136,0.648,6.97,0.66,0.653,12.616,0.717,10.017,71.823
Pytorch_LAB_HYBRID_Fusion_00020.png,15.007,0.704,6.708,0.658,0.359,12.305,0.772,10.131,75.357
Pytorch_LAB_HYBRID_Fusion_00021.png,15.916,0.711,6.379,0.659,0.13,12.172,0.797,10.065,96.648
Pytorch_LAB_HYBRID_Fusion_00022.png,15.564,0.703,6.538,0.66,0.278,12.355,0.822,10.238,79.991
Pytorch_LAB_HYBRID_Fusion_00023.png,16.314,0.731,6.718,0.677,0.373,12.42,0.82,10.078,86.562
Pytorch_LAB_HYBRID_Fusion_00024.png,16.235,0.768,6.542,0.738,0.279,12.243,0.839,9.793,101.751
Pytorch_LAB_HYBRID_Fusion_00025.png,18.611,0.842,5.65,0.753,0.657,10.623,0.835,9.913,36.905
Pytorch_LAB_HYBRID_Fusion_00026.png,17.861,0.817,5.863,0.802,0.585,10.909,0.837,9.775,37.324
Pytorch_LAB_HYBRID_Fusion_00027.png,17.999,0.822,5.872,0.808,0.564,10.911,0.856,9.801,36.476
Pytorch_LAB_HYBRID_Fusion_00028.png,17.849,0.819,5.893,0.818,0.529,11.015,0.841,9.786,38.767
Pytorch_LAB_HYBRID_Fusion_00029.png,17.553,0.815,5.842,0.837,0.489,10.934,0.804,9.79,38.294
Pytorch_LAB_HYBRID_Fusion_00030.png,17.045,0.781,6.045,0.715,0.536,11.322,0.821,9.991,41.573
Pytorch_LAB_HYBRID_Fusion_00031.png,16.484,0.827,6.552,0.798,0.045,11.115,0.906,9.774,178.791
Pytorch_LAB_HYBRID_Fusion_00032.png,17.775,0.855,6.665,0.952,0.786,11.002,0.925,9.996,194.864
Pytorch_LAB_HYBRID_Fusion_00033.png,19.718,0.875,6.596,0.95,0.481,12.105,0.883,10.183,167.308
Pytorch_LAB_HYBRID_Fusion_00034.png,15.203,0.806,6.13,0.761,0.022,11.614,0.856,10.412,50.524
Pytorch_LAB_HYBRID_Fusion_00035.png,15.128,0.805,6.121,0.758,0.012,11.604,0.858,10.434,50.702
Pytorch_LAB_HYBRID_Fusion_00036.png,15.161,0.801,6.141,0.747,0.035,11.657,0.861,10.42,53.012
Pytorch_LAB_HYBRID_Fusion_00037.png,15.217,0.808,6.136,0.775,-0.016,11.547,0.834,10.426,50.484
Pytorch_LAB_HYBRID_Fusion_00038.png,20.322,0.828,6.818,0.839,0.672,12.364,0.841,9.304,103.4
Pytorch_LAB_HYBRID_Fusion_00039.png,17.682,0.837,6.829,1.221,0.599,12.104,0.855,10.436,67.211
Pytorch_LAB_HYBRID_Fusion_00040.png,19.218,0.835,6.878,0.983,0.63,12.204,0.859,9.996,86.928
Pytorch_LAB_HYBRID_Fusion_00041.png,19.907,0.841,6.817,0.921,0.621,12.221,0.869,9.809,120.07
Pytorch_LAB_HYBRID_Fusion_00042.png,19.534,0.784,6.851,0.683,0.626,12.522,0.836,9.437,109.995
Pytorch_LAB_HYBRID_Fusion_00043.png,20,0.805,6.803,0.762,0.669,12.231,0.862,9.413,94.714
Pytorch_LAB_HYBRID_Fusion_00044.png,19.939,0.82,6.958,0.771,0.696,12.175,0.876,9.759,94.853
Pytorch_LAB_HYBRID_Fusion_00045.png,19.964,0.816,6.894,0.754,0.695,12.089,0.885,9.58,158.661
Pytorch_LAB_HYBRID_Fusion_00046.png,18.715,0.803,6.976,0.761,0.714,12.126,0.866,10.404,70.947
Pytorch_LAB_HYBRID_Fusion_00047.png,19.787,0.818,6.997,0.764,0.739,12.309,0.873,9.924,83.586
