Image,PSNR (dB),SSIM,Entropy,Edge Preservation (EPI),Correlation Coefficient (CC),NMI,GSSIM,RMSE,MAE
Pytorch_YCrCb_HYBRID_Fusion_00001.png,17.207,0.71,6.478,0.648,0.339,12.589,0.783,9.769,112.519
Pytorch_YCrCb_HYBRID_Fusion_00002.png,17.305,0.714,6.453,0.651,0.333,12.551,0.779,9.804,116.255
Pytorch_YCrCb_HYBRID_Fusion_00003.png,15.658,0.768,6.291,0.696,0.061,11.972,0.829,9.96,78.573
Pytorch_YCrCb_HYBRID_Fusion_00004.png,15.583,0.759,6.282,0.677,0.088,12.12,0.833,9.906,85.654
Pytorch_YCrCb_HYBRID_Fusion_00005.png,17.467,0.724,6.438,0.653,0.36,12.568,0.787,9.659,119.95
Pytorch_YCrCb_HYBRID_Fusion_00006.png,15.319,0.742,6.347,0.671,0.102,12.044,0.84,10.012,75.11
Pytorch_YCrCb_HYBRID_Fusion_00007.png,15.984,0.78,6.365,0.68,0.21,11.969,0.881,9.414,95.172
Pytorch_YCrCb_HYBRID_Fusion_00008.png,15.808,0.782,6.342,0.673,0.24,11.839,0.879,9.476,90.004
Pytorch_YCrCb_HYBRID_Fusion_00009.png,16.385,0.741,6.338,0.741,0.354,12.613,0.82,9.924,84.93
Pytorch_YCrCb_HYBRID_Fusion_00010.png,15.204,0.768,6.229,0.784,0.198,11.532,0.825,9.804,64.526
Pytorch_YCrCb_HYBRID_Fusion_00011.png,17.558,0.731,6.463,0.717,0.461,12.788,0.783,9.788,96.619
Pytorch_YCrCb_HYBRID_Fusion_00012.png,15.101,0.702,6.591,0.682,0.313,12.481,0.805,10.113,72.067
Pytorch_YCrCb_HYBRID_Fusion_00013.png,15.029,0.709,6.552,0.677,0.179,12.456,0.811,10.145,87.397
Pytorch_YCrCb_HYBRID_Fusion_00014.png,15.497,0.737,6.584,0.661,0.379,12.367,0.852,9.999,79.597
Pytorch_YCrCb_HYBRID_Fusion_00015.png,16.966,0.72,6.721,0.625,0.461,12.569,0.794,9.672,101.21
Pytorch_YCrCb_HYBRID_Fusion_00016.png,17.029,0.711,6.723,0.618,0.498,12.53,0.789,9.747,88.905
Pytorch_YCrCb_HYBRID_Fusion_00017.png,16.704,0.725,6.51,0.638,0.381,12.359,0.792,10.016,84.746
Pytorch_YCrCb_HYBRID_Fusion_00018.png,16.574,0.696,6.76,0.62,0.519,12.803,0.77,9.765,81.865
Pytorch_YCrCb_HYBRID_Fusion_00019.png,16.186,0.648,6.946,0.647,0.673,12.614,0.732,9.952,71.196
Pytorch_YCrCb_HYBRID_Fusion_00020.png,15.034,0.704,6.659,0.642,0.402,12.29,0.781,10.006,73.856
Pytorch_YCrCb_HYBRID_Fusion_00021.png,15.915,0.711,6.331,0.649,0.171,12.171,0.8,10.32,95.366
Pytorch_YCrCb_HYBRID_Fusion_00022.png,15.575,0.703,6.496,0.649,0.317,12.38,0.82,10.359,78.414
Pytorch_YCrCb_HYBRID_Fusion_00023.png,16.336,0.731,6.689,0.666,0.405,12.417,0.825,10.219,84.943
Pytorch_YCrCb_HYBRID_Fusion_00024.png,16.25,0.769,6.51,0.723,0.319,12.23,0.841,9.911,100.513
Pytorch_YCrCb_HYBRID_Fusion_00025.png,18.644,0.841,5.616,0.728,0.701,10.611,0.85,10.146,35.409
Pytorch_YCrCb_HYBRID_Fusion_00026.png,17.891,0.816,5.849,0.771,0.638,10.903,0.851,9.955,35.974
Pytorch_YCrCb_HYBRID_Fusion_00027.png,18.027,0.822,5.878,0.78,0.617,10.921,0.864,9.946,35.131
Pytorch_YCrCb_HYBRID_Fusion_00028.png,17.874,0.819,5.893,0.79,0.586,11.028,0.852,9.909,37.374
Pytorch_YCrCb_HYBRID_Fusion_00029.png,17.579,0.814,5.828,0.805,0.553,10.933,0.823,9.907,36.879
Pytorch_YCrCb_HYBRID_Fusion_00030.png,17.087,0.781,6.024,0.695,0.597,11.344,0.832,9.811,40.531
Pytorch_YCrCb_HYBRID_Fusion_00031.png,16.497,0.828,6.608,0.815,0.031,11.137,0.899,9.822,177.711
Pytorch_YCrCb_HYBRID_Fusion_00032.png,17.79,0.855,6.719,0.975,0.774,11.033,0.916,10.02,193.638
Pytorch_YCrCb_HYBRID_Fusion_00033.png,19.723,0.875,6.6,0.952,0.492,12.124,0.879,10.13,166.38
Pytorch_YCrCb_HYBRID_Fusion_00034.png,15.232,0.807,6.008,0.736,0.083,11.59,0.865,10.39,48.965
Pytorch_YCrCb_HYBRID_Fusion_00035.png,15.157,0.806,5.995,0.733,0.073,11.577,0.867,10.403,49.115
Pytorch_YCrCb_HYBRID_Fusion_00036.png,15.19,0.802,6.02,0.724,0.096,11.635,0.869,10.408,51.467
Pytorch_YCrCb_HYBRID_Fusion_00037.png,15.246,0.809,6.018,0.748,0.043,11.529,0.847,10.409,48.866
Pytorch_YCrCb_HYBRID_Fusion_00038.png,20.298,0.828,6.817,0.835,0.673,12.374,0.841,9.313,102.718
Pytorch_YCrCb_HYBRID_Fusion_00039.png,17.698,0.838,6.817,1.18,0.61,12.123,0.863,10.373,66.068
Pytorch_YCrCb_HYBRID_Fusion_00040.png,19.216,0.836,6.865,0.966,0.633,12.209,0.864,9.96,85.858
Pytorch_YCrCb_HYBRID_Fusion_00041.png,19.892,0.841,6.822,0.916,0.619,12.245,0.874,9.768,118.612
Pytorch_YCrCb_HYBRID_Fusion_00042.png,19.533,0.784,6.837,0.685,0.631,12.522,0.833,9.426,108.902
Pytorch_YCrCb_HYBRID_Fusion_00043.png,19.981,0.804,6.795,0.76,0.672,12.24,0.862,9.36,94.285
Pytorch_YCrCb_HYBRID_Fusion_00044.png,19.927,0.82,6.952,0.766,0.699,12.196,0.874,9.84,94.418
Pytorch_YCrCb_HYBRID_Fusion_00045.png,19.977,0.816,6.896,0.762,0.686,12.104,0.879,9.583,156.168
Pytorch_YCrCb_HYBRID_Fusion_00046.png,18.723,0.802,6.968,0.753,0.721,12.141,0.864,10.318,70.213
Pytorch_YCrCb_HYBRID_Fusion_00047.png,19.783,0.818,7.011,0.756,0.743,12.336,0.872,9.955,82.854
Pytorch_YCrCb_HYBRID_Fusion_00048.png,20.941,0.846,6.852,0.821,0.74,11.787,0.908,9.192,161.645
Pytorch_YCrCb_HYBRID_Fusion_00049.png,18.919,0.793,6.96,0.768,0.662,11.963,0.88,10.008,184.038
Pytorch_YCrCb_HYBRID_Fusion_00050.png,20.845,0.862,6.954,0.974,0.747,11.806,0.9,9.298,137.274
Pytorch_YCrCb_HYBRID_Fusion_00051.png,20.214,0.831,6.744,0.861,0.627,11.796,0.912,9.91,94.281
