Image Index,T1 (Input Processing),T2 (Build Pyramids),T3 (Fuse Pyramids),T4 (Final Output),Total Time,
1,0.0077309,0.0024132,0.0001052,0.0001848,0.0699389,0.080373
2,0.0083216,0.0024384,8.27E-05,0.0001522,0.0828054,0.0938003
3,0.0069349,0.0013961,7.70E-05,0.0001055,0.0640523,0.0725658
4,0.0081836,0.0030971,9.19E-05,0.0001233,0.0616336,0.0731295
5,0.0066489,0.001438,0.0001016,0.0002004,0.0692499,0.0776388
6,0.0079045,0.0016061,9.02E-05,0.0001601,0.0665268,0.0762877
7,0.0075015,0.0014789,7.00E-05,0.0001392,0.0694295,0.0786191
8,0.0080301,0.0014202,7.33E-05,0.0001346,0.0592831,0.0689413
9,0.0074259,0.001534,8.63E-05,0.0001253,0.0704163,0.0795878
10,0.0079785,0.0013634,6.24E-05,0.0001117,0.0658117,0.0753277
11,0.0075593,0.0014571,7.03E-05,0.0001332,0.0678789,0.0770988
12,0.008194,0.00137,6.83E-05,0.0001248,0.063868,0.0736251
13,0.0077878,0.0013172,7.26E-05,0.0001287,0.0767095,0.0860158
14,0.008047,0.001432,7.11E-05,0.0001389,0.0634614,0.0731504
15,0.0075238,0.0013828,6.96E-05,0.0001325,0.0674757,0.0765844
16,0.0082099,0.0016655,6.32E-05,0.0001233,0.0683558,0.0784177
17,0.0075886,0.0014949,8.41E-05,0.0001186,0.0670131,0.0762993
18,0.0076354,0.0016823,8.45E-05,0.0001473,0.0775111,0.0870606
19,0.0070449,0.0014636,7.88E-05,0.0001305,0.0672685,0.0759863
20,0.0078993,0.0015168,9.54E-05,0.0001401,0.0659034,0.075555
21,0.0083494,0.001636,6.37E-05,0.0001763,0.0684648,0.0786902
22,0.0074457,0.0012471,5.93E-05,0.0001143,0.0638092,0.0726756
23,0.0075625,0.0013079,7.38E-05,0.0001493,0.0727585,0.081852
24,0.0079477,0.0014068,7.47E-05,0.0001416,0.0743054,0.0838762
25,0.0071693,0.0021948,8.16E-05,0.0001153,0.0641865,0.0737475
26,0.0083527,0.0015086,6.35E-05,0.0001322,0.0611639,0.0712209
27,0.0069683,0.0015037,6.52E-05,0.000109,0.0606979,0.0693441
28,0.0083117,0.0019474,7.76E-05,0.0001052,0.0682888,0.0787307
29,0.0071591,0.0014886,9.00E-05,0.0001507,0.0686863,0.0775747
30,0.0080475,0.0015624,7.36E-05,0.0001544,0.0655057,0.0753436
31,0.0079316,0.0016143,9.10E-05,0.0001369,0.0641887,0.0739625
32,0.0084383,0.0020236,7.30E-05,0.0001532,0.062064,0.0727521
33,0.0070766,0.0013094,6.75E-05,0.0001405,0.0656089,0.0742029
34,0.0084062,0.0015256,6.98E-05,0.0001344,0.0625921,0.0727281
35,0.0076953,0.0014543,7.67E-05,0.000125,0.0621677,0.071519
36,0.0081417,0.0012344,7.44E-05,0.0001302,0.062801,0.0723817
37,0.0076657,0.0016267,0.0001071,0.0001314,0.0723423,0.0818732
38,0.0096592,0.0024957,0.0001021,0.0001838,0.0787782,0.091219
39,0.0076611,0.0013643,7.65E-05,0.0001522,0.0659074,0.0751615
40,0.008897,0.0017733,0.0001162,0.0001204,0.0620358,0.0729427
41,0.0076,0.0012067,6.01E-05,0.0001263,0.0628919,0.071885
42,0.0082198,0.0015569,8.39E-05,0.0001572,0.0706063,0.0806241
43,0.008165,0.0018147,8.14E-05,0.0001508,0.067551,0.0777629
44,0.0086511,0.0024487,7.17E-05,0.0002795,0.072662,0.084113
45,0.0077137,0.0015797,0.0001015,0.0001348,0.0698269,0.0793566
46,0.0074663,0.0016115,9.20E-05,0.0001213,0.0666399,0.075931
47,0.0085207,0.0020237,9.41E-05,0.0002393,0.0619716,0.0728494
48,0.0086077,0.0016504,7.51E-05,0.0001307,0.0662915,0.0767554
49,0.0080357,0.0019393,8.72E-05,0.0001825,0.0798704,0.0901151
50,0.0084925,0.001807,8.10E-05,0.0001262,0.0669096,0.0774163
51,0.007082,0.0013712,5.89E-05,0.0001229,0.0575104,0.0661454
52,0.0079948,0.0014097,6.01E-05,0.0001279,0.0642275,0.07382
53,0.007349,0.0015559,7.04E-05,0.0001266,0.0615011,0.070603
54,0.0080358,0.0015437,0.0001808,0.0002643,0.0656913,0.0757159
55,0.0075836,0.0014554,9.53E-05,0.0001341,0.0671904,0.0764588
56,0.0078016,0.0027273,9.29E-05,0.000127,0.0666903,0.0774391
57,0.0076872,0.0016213,8.94E-05,0.0001551,0.0632165,0.0727695
58,0.0080284,0.0014938,6.49E-05,0.0001034,0.0651026,0.0747931
59,0.0082264,0.0012532,6.02E-05,0.0001167,0.0740814,0.0837379
60,0.0079984,0.0014349,6.22E-05,0.0001032,0.0633338,0.0729325
61,0.0073298,0.0014211,9.99E-05,0.0001375,0.0650075,0.0739958
62,0.0072575,0.001182,6.02E-05,0.0001051,0.0623963,0.0710011
63,0.0069417,0.0012822,0.0002308,0.0001961,0.0623859,0.0710367
64,0.0080683,0.001758,7.32E-05,0.0001066,0.0945356,0.1045417
65,0.0075267,0.0011928,6.81E-05,0.000112,0.0610286,0.0699282
66,0.007952,0.0022113,0.0001081,0.0001694,0.0639556,0.0743964
67,0.007864,0.0014173,6.29E-05,0.0001201,0.0655508,0.0750151
68,0.0076446,0.0020344,0.0001076,0.0001517,0.0666415,0.0765798
69,0.007079,0.0015481,6.42E-05,0.0001064,0.064914,0.0737117
70,0.0074743,0.0018395,9.09E-05,0.0001324,0.0651983,0.0747354
71,0.007835,0.0015717,7.05E-05,0.000152,0.0645423,0.0741715
72,0.0079993,0.0015339,9.84E-05,0.0001304,0.0657652,0.0755272
73,0.0072923,0.0015752,0.0001161,0.0001857,0.070371,0.0795403
74,0.0086745,0.0016898,9.60E-05,0.0001311,0.0741126,0.084704
75,0.0077006,0.0028731,6.53E-05,0.0001185,0.0610742,0.0718317
76,0.0073994,0.0013642,6.90E-05,0.0001269,0.0624496,0.0714091
77,0.0079386,0.0017495,0.0001139,0.0001715,0.0681101,0.0780836
78,0.0082377,0.0016035,6.46E-05,0.0001076,0.0743348,0.0843482
79,0.0071918,0.0013527,8.48E-05,0.0001278,0.0695596,0.0783167
80,0.0083765,0.0020769,7.46E-05,0.0001086,0.0703956,0.0810322
81,0.0076411,0.0013947,8.03E-05,0.0001381,0.068939,0.0781932
82,0.0080074,0.00154,0.0001079,0.0001485,0.0689216,0.0787254
83,0.0070839,0.0011675,5.96E-05,0.0001048,0.066227,0.0746428
84,0.0291091,0.0017695,8.31E-05,0.0001847,0.0705731,0.1017195
85,0.0072339,0.0013554,6.74E-05,0.0001371,0.0788604,0.0876542
86,0.0080648,0.0016833,7.42E-05,0.0001512,0.0610685,0.071042
87,0.0078821,0.001998,5.91E-05,0.0001046,0.070131,0.0801748
88,0.0075319,0.0017062,8.93E-05,0.0001567,0.064463,0.0739471
89,0.0073631,0.0016261,6.93E-05,0.0001145,0.0694398,0.0786128
90,0.0080338,0.0016151,8.22E-05,0.000176,0.0614578,0.0713649
91,0.0068567,0.0011544,6.05E-05,0.000105,0.0650074,0.073184
92,0.0076479,0.0016433,7.60E-05,0.0001079,0.0645596,0.0740347
93,0.0078372,0.0014193,6.24E-05,0.0001236,0.0616229,0.0710654
94,0.008241,0.0014827,6.22E-05,0.0001198,0.0674109,0.0773166
95,0.0077781,0.0014699,7.92E-05,0.000132,0.0689806,0.0784398
96,0.0085332,0.0021792,0.0001217,0.0001178,0.0775361,0.088488
97,0.0073737,0.002026,0.0001082,0.000286,0.0680376,0.0778315
98,0.0082766,0.0017755,7.49E-05,0.0001555,0.0630609,0.0733434
99,0.007051,0.0017659,7.50E-05,0.0001064,0.0586627,0.067661
100,0.0076144,0.0013538,6.91E-05,0.0001273,0.0665699,0.0757345
101,0.0078173,0.0015597,0.0001019,0.0001608,0.0712116,0.0808513
102,0.0084681,0.0025496,7.90E-05,0.0001784,0.1350111,0.1462862
103,0.008873,0.0020923,0.0001257,0.0001218,0.0647785,0.0759913
104,0.0084225,0.0025006,7.81E-05,0.0001169,0.0670078,0.0781259
105,0.0089358,0.0016543,0.0001122,0.0001442,0.0680469,0.0788934
106,0.0083322,0.0022879,9.69E-05,0.0002332,0.0698261,0.0807763
107,0.0079275,0.0014529,9.06E-05,0.0001718,0.0641185,0.0737613
108,0.008154,0.001611,7.10E-05,0.0001324,0.0592428,0.0692112
109,0.0084256,0.0018507,6.85E-05,0.0001118,0.0589928,0.0694494
110,0.007196,0.0011612,6.37E-05,0.0001076,0.0660198,0.0745483
111,0.0089888,0.0018886,8.13E-05,0.0001324,0.072113,0.0832041
112,0.0081334,0.0024524,0.0001392,0.0002871,0.07303,0.0840421
113,0.0083108,0.0023033,7.16E-05,0.0001281,0.0622666,0.0730804
114,0.0075516,0.0023009,0.0001004,0.0001379,0.057378,0.0674688
115,0.0072351,0.0012319,6.04E-05,0.0001135,0.0638217,0.0724626
116,0.0077657,0.0014972,0.0001233,0.0001571,0.0582797,0.067823
117,0.0076349,0.0019656,7.50E-05,0.0001365,0.0665261,0.0763381
118,0.0083455,0.0016127,6.00E-05,0.0001068,0.0613253,0.0714503
119,0.0069956,0.0016115,0.000132,0.0001341,0.0642113,0.0730845
120,0.0084595,0.0021603,9.90E-05,0.0001495,0.0603478,0.0712161
121,0.0078619,0.001877,5.97E-05,0.0001033,0.0627479,0.0726498
122,0.007405,0.0018066,6.34E-05,0.0001251,0.0635996,0.0729997
123,0.0077919,0.0021161,7.54E-05,0.0001465,0.063836,0.0739659
124,0.0081414,0.0012629,7.00E-05,0.0001202,0.0669303,0.0765248
125,0.0070376,0.0017219,0.0001074,0.0001158,0.0685108,0.0774935
